id,url,timestamp,local_dir,filename,source,license,uploader_name,uploader_email
1,https://zenodo.org/api/records/15606072/files/3. interview.docx/content,2026-03-06T01:52:04.111799,data/raw_downloads/zenodo\3,3. interview.docx,zenodo,cc-by-4.0,"Reponen, Roosa",
2,https://zenodo.org/api/records/15606072/files/4. interview.docx/content,2026-03-06T01:52:05.992351,data/raw_downloads/zenodo\4,4. interview.docx,zenodo,cc-by-4.0,"Reponen, Roosa",
3,https://zenodo.org/api/records/15606072/files/5. interview.docx/content,2026-03-06T01:52:07.934573,data/raw_downloads/zenodo\5,5. interview.docx,zenodo,cc-by-4.0,"Reponen, Roosa",
4,https://zenodo.org/api/records/15606072/files/6. interview.docx/content,2026-03-06T01:52:09.729800,data/raw_downloads/zenodo\6,6. interview.docx,zenodo,cc-by-4.0,"Reponen, Roosa",
5,https://zenodo.org/api/records/15606072/files/1. interview.docx/content,2026-03-06T01:52:11.426490,data/raw_downloads/zenodo\1,1. interview.docx,zenodo,cc-by-4.0,"Reponen, Roosa",
6,https://zenodo.org/api/records/15606072/files/2. interview.docx/content,2026-03-06T01:52:13.333312,data/raw_downloads/zenodo\2,2. interview.docx,zenodo,cc-by-4.0,"Reponen, Roosa",
7,https://zenodo.org/api/records/11061056/files/QPI_CSDI2024_pub.pdf/content,2026-03-06T01:52:15.311027,data/raw_downloads/zenodo\QPI_CSDI2024_pub,QPI_CSDI2024_pub.pdf,zenodo,cc-by-sa-4.0,"Bethmann, Arne",
8,https://zenodo.org/api/records/13924135/files/Interview Guideline.pdf/content,2026-03-06T01:52:17.167551,data/raw_downloads/zenodo\Interview Guideline,Interview Guideline.pdf,zenodo,cc-by-sa-4.0,"Posch, Arthur",
9,https://zenodo.org/api/records/13924135/files/Qualitative Interview Summaries.pdf/content,2026-03-06T01:52:19.086176,data/raw_downloads/zenodo\Qualitative Interview Summaries,Qualitative Interview Summaries.pdf,zenodo,cc-by-sa-4.0,"Posch, Arthur",
10,https://zenodo.org/api/records/8101863/files/2 Ciminli.pdf/content,2026-03-06T01:52:21.087852,data/raw_downloads/zenodo\2 Ciminli,2 Ciminli.pdf,zenodo,cc-by-4.0,"Ciminli, Alaattin",
11,https://zenodo.org/api/records/14942078/files/2.- Vera Alves - Investigación cualitativa entrevista inspirada en el enfoque centrado en la persona (español).pdf/content,2026-03-06T01:52:23.177405,data/raw_downloads/zenodo\2,2.- Vera Alves - Investigación cualitativa entrevista inspirada en el enfoque centrado en la persona (español).pdf,zenodo,cc-by-4.0,"Alves, Vera",
12,https://zenodo.org/api/records/5254870/files/Dev-Centric-Test-Amp-Replication-Table.xlsx/content,2026-03-06T01:52:25.276506,data/raw_downloads/zenodo\Dev-Centric-Test-Amp-Replication-Table,Dev-Centric-Test-Amp-Replication-Table.xlsx,zenodo,cc-by-4.0,"Brandt, Carolin",
13,https://zenodo.org/api/records/4672678/files/QDR_CurationHandbook_20210408.pdf/content,2026-03-06T01:52:27.264306,data/raw_downloads/zenodo\QDR_CurationHandbook_20210408,QDR_CurationHandbook_20210408.pdf,zenodo,cc-by-4.0,"Demgenski, Robert",
14,https://zenodo.org/api/records/3781783/files/2010_c4_gray_etal.pdf/content,2026-03-06T01:52:29.177143,data/raw_downloads/zenodo\2010_c4_gray_etal,2010_c4_gray_etal.pdf,zenodo,other-at,Jane Gray,
15,https://zenodo.org/api/records/3775637/files/2018_b2_elman.pdf/content,2026-03-06T01:52:31.909807,data/raw_downloads/zenodo\2018_b2_elman,2018_b2_elman.pdf,zenodo,other-at,Colin Elman,
16,https://zenodo.org/api/records/15009590/files/22-29079.pdf/content,2026-03-06T01:52:33.882281,data/raw_downloads/zenodo\22-29079,22-29079.pdf,zenodo,cc-by-4.0,"Leong, Sok Yee",
